track_name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",2ZWmmrWUgDBcPSLihBMvhg,0.633,0.931,1,-0.424,1,0.228,0.214,0.00398,0.0585,0.566,87.537,177292,4
Shift,4n0bY7nhHGiT1wQMC0KRPb,0.519,0.935,4,-4.067,1,0.281,0.00391,0.481,0.0948,0.142,171.988,260307,4
Anomaly - Annix Remix,3ZkFyqFczvHcERdmKCr51M,0.371,0.92,8,-3.393,1,0.421,0.0438,0.755,0.591,0.036,171.796,178256,4
Nagow,4OqXV8TiCTFkzxQwugQEyD,0.349,0.766,11,-4.268,1,0.0474,0.000163,0.00164,0.112,0.0392,114.204,184186,5
Reverse The Bass,4ZJVtATf78hjgRe9Ov8csj,0.665,0.973,1,-3.807,1,0.435,0.000242,0.0465,0.194,0.155,155.003,193548,4
Tears,29tRu5BqKiUDAoWLKIO3RN,0.697,0.633,5,-5.288,0,0.1,0.00182,0.2,0.109,0.369,140.216,185571,4
Chat About,1iU5FsYtRjah4c3I4R3cFF,0.591,0.927,11,-3.417,0,0.0776,0.00431,0.511,0.392,0.197,174.933,224914,4
Power,6yZyQ2sDmelY3C6KesOYYL,0.548,0.92,11,-0.81,1,0.0647,6.75e-05,0.877,0.0592,0.358,173.993,226207,4
Deeper,1Vj7Fjk2epIZqU350RUJBg,0.454,0.882,10,-1.852,0,0.282,0.0168,0.00628,0.0863,0.267,174.602,255086,4
Down 4 - Mixed,1PTpCVVDe232ADbebbv8lC,0.593,0.949,2,-5.209,1,0.0732,0.066,0.03,0.127,0.772,174.966,55537,4
Into the Beat,2xSTabtPHg2cKY7LdxTuu9,0.595,0.988,2,-5.884,1,0.0726,0.00423,0.802,0.275,0.362,155.01,323686,4
Dominate VIP,4BVcmSJl06n5jjQsFi83yJ,0.692,0.993,11,-0.148,1,0.166,0.00293,0.629,0.113,0.149,127.967,229263,4
Laserbeam - ÆON:MODE Remix,4DVkTvbzmQKB31PciE7X2a,0.554,0.989,1,-1.335,1,0.0829,0.000459,0.377,0.298,0.259,172.006,164651,4
Polarity - VIP,0rNuA5fTJDDvQ4oa421WM9,0.486,0.956,11,-0.832,1,0.09,0.00754,0.0571,0.201,0.0351,87.582,202971,4
Come Forward,4eVD2m6PMoXNKfBUPVCv2T,0.642,0.731,11,-7.042,1,0.12,0.0137,0.946,0.102,0.11,172.01,234419,4
UPUPUP,2opgFC1N9O65yfJT98N0vK,0.559,0.975,1,-1.654,1,0.1,0.0452,0.704,0.113,0.183,117.896,130171,5
Empress - Phace x IMANU VIP,4F9RuI9WA0lTydWGTVYrru,0.513,0.749,11,-1.705,1,0.131,0.0109,0.411,0.0947,0.12,172.035,231628,4
Life Like This,20gRYabFCGCCnnmPmc4exb,0.399,0.95,11,-1.078,0,0.16,0.039,0.0345,0.136,0.186,85.976,204419,4
Of Two Minds,5M2K4koyvq0XJD4E2wiPbd,0.293,0.895,9,-2.122,0,0.082,0.0664,0.433,0.109,0.0348,110.007,279070,5
Dream Sequence,7sffVqX1SNyD8qbdPZknNY,0.478,0.798,4,-0.309,0,0.0385,0.0606,0.647,0.208,0.154,134.933,215111,4
Deeper Love,4VdbHYqXfOZkHGX1S68Rns,0.382,0.957,5,-2.997,0,0.052,9.83e-05,0.0376,0.327,0.186,174.075,253323,4
Sleep Like a Stoner - Michael Bibi Remix,16HQvCCXKwI7ejUZbRwJOm,0.807,0.691,10,-7.126,0,0.0563,0.000529,0.505,0.0795,0.732,127.018,383235,4
Welcome to London - J.Sparrow Remix,1PfPqTqqM7apobxyQkIrvI,0.882,0.552,11,-7.09,0,0.355,0.0951,0.00163,0.303,0.288,139.995,264869,4
Nonplus - SKANTIA Remix,0v1hTByaXbcIL4SxRrBzry,0.55,0.953,11,-0.602,0,0.121,0.00492,0.89,0.344,0.0382,172.014,301395,4
Technoid,7rqWfVnNo2hyCpSpCpEYFj,0.332,0.602,5,-3.842,1,0.0466,0.0325,0.635,0.127,0.0848,172.328,244629,4
Body Work,3TJMGNUTUmoAbtFLbfxIvd,0.568,0.972,0,-1.286,1,0.104,0.00398,0.887,0.139,0.227,174.071,242069,4
Realise,1g5e9WHQKSf4K7UYMinNDB,0.407,0.943,11,-1.735,1,0.324,0.0363,0.0515,0.319,0.306,173.495,195862,4
It's That Time - Dimension Remix,76x1mIsCz46excW50sehDt,0.698,0.981,5,-0.179,1,0.109,0.00329,0.49,0.308,0.524,173.989,215172,4
Original Nuttah 25 (feat. IRAH) - Chase & Status Remix,7CiZj5S4E5FVboR0yLVLzc,0.425,0.894,10,-4.991,0,0.0762,0.0258,1.56e-06,0.0996,0.171,115.412,223455,5
Mesmer,2EUJu4bTGCv0q3XfQcYacF,0.346,0.888,1,-3.381,1,0.187,0.000929,0.00156,0.112,0.0639,173.998,281379,4
Black Out Days - Subtronics Remix,0Tcy9RRWvcnqepvmVcqv05,0.473,0.974,4,-3.554,0,0.0782,0.00161,0.891,0.166,0.105,175.097,208457,4
Liquor & Cigarettes (feat. ArrDee),5etN0BsaiQlp0D6ltU4BX7,0.588,0.976,0,-0.192,1,0.349,0.0511,0,0.0841,0.621,175.075,189987,4
On The Block (feat. Sav'O & Horrid1),68bwt33eVNIbseelSwYUud,0.659,0.957,1,-1.767,1,0.168,0.00755,0.129,0.112,0.364,175.061,210333,4
CALL MY NAME,1kfN7kA80uCKvZ2kQsXQHt,0.497,0.857,9,-3.131,0,0.0369,0.000127,0.0543,0.122,0.086,174.007,160000,4
Drums,7yQbb56NI356mwnqlEn2kJ,0.861,0.912,11,-0.655,1,0.223,0.00541,0.000323,0.108,0.719,87.019,264828,4
Closer,0f97n6kmc8RYUwMyialr8y,0.63,0.736,1,-6.028,1,0.0445,0.0759,0.0246,0.123,0.338,87.46,135797,4
CATALYST,3wPpMU6d8h9yxvBadDDr44,0.606,0.824,9,-2.83,0,0.0429,0.00383,0.725,0.145,0.0395,166.02,206747,4
Mantra,2O5PhBSNI3cN4VoVOYSfRt,0.508,0.953,8,-1.396,1,0.0824,0.000201,0.697,0.0995,0.0396,172.134,228864,4
LEFT TO RIGHT (Subsonic Remix),25JNOXGpHw3E9wmLNmcarr,0.561,0.961,0,-1.988,1,0.104,0.122,0.959,0.416,0.417,174.011,179310,4
See The Sun,0dmZO2EvCDl6TrIsuPHmgu,0.548,0.806,3,-2.014,0,0.0957,0.0764,0.0211,0.149,0.115,173.948,172414,4
Hit The Lights,3ZfeL48yScH42MlC2QVW3t,0.626,0.55,11,-4.161,0,0.0633,0.141,0.483,0.178,0.192,171.978,226047,4
POWER,3VTXX0KqnhJxerRXn9rQGE,0.606,0.955,2,-3.216,1,0.37,0.00916,0.433,0.235,0.393,174.039,188965,4
Clusterfunk,4lcRubhSuxGBKSQ8vGl8EJ,0.652,0.918,1,-2.22,1,0.26,0.0047,0.766,0.18,0.165,171.941,249767,4
Reminiscing,19VAMZMfIBfor0ubw0Hznw,0.411,0.953,11,-1.593,0,0.317,0.314,3.76e-06,0.787,0.176,172.151,189767,4
Bassdrop,2rcJNxOyYmthEsIPOtMKhG,0.81,0.884,0,-1.683,1,0.236,0.00191,0.00768,0.19,0.505,174.003,172586,4
Machete,5eoH8W0HXsbS8N5yfO8ozn,0.361,0.988,1,-2.612,1,0.762,0.00269,0.0106,0.118,0.173,173.841,209655,4
Omissions - Xtrah Remix,2aDEHlIot0gaNZQV5XL58a,0.605,0.936,0,-5.682,1,0.0885,8.23e-05,0.768,0.174,0.365,172.0,252380,4
Shibuya Pet Store - Trinist Remix,0INax65LOWWVlQCXh0i82i,0.622,0.7,1,-3.777,1,0.145,0.00417,0.843,0.178,0.159,172.062,231628,4
